5s	15s	20d	6s	14n	10s
USGS	06114700	2011-05-10 00:00	MDT	2220	A
USGS	06114700	2011-05-10 00:15	MDT	2460	A
USGS	06114700	2011-05-10 00:30	MDT	2360	A
USGS	06114700	2011-05-10 00:45	MDT	2410	A
USGS	06114700	2011-05-10 01:00	MDT	2410	A
USGS	06114700	2011-05-10 01:15	MDT	2600	A
USGS	06114700	2011-05-10 01:30	MDT	2570	A
USGS	06114700	2011-05-10 01:45	MDT	2320	A
USGS	06114700	2011-05-10 02:00	MDT	2360	A
USGS	06114700	2011-05-10 02:15	MDT	2570	A
USGS	06114700	2011-05-10 02:30	MDT	2600	A
USGS	06114700	2011-05-10 02:45	MDT	2580	A
USGS	06114700	2011-05-10 03:00	MDT	2580	A
USGS	06114700	2011-05-10 03:15	MDT	2690	A
USGS	06114700	2011-05-10 03:30	MDT	2720	A
USGS	06114700	2011-05-10 03:45	MDT	2730	A
USGS	06114700	2011-05-10 04:00	MDT	2600	A
USGS	06114700	2011-05-10 04:15	MDT	2680	A
USGS	06114700	2011-05-10 04:30	MDT	2800	A
USGS	06114700	2011-05-10 04:45	MDT	2790	A
USGS	06114700	2011-05-10 05:00	MDT	2800	A
USGS	06114700	2011-05-10 05:15	MDT	3010	A
USGS	06114700	2011-05-10 05:30	MDT	2940	A
USGS	06114700	2011-05-10 05:45	MDT	2940	A
USGS	06114700	2011-05-10 06:00	MDT	2940	A
USGS	06114700	2011-05-10 06:15	MDT	3030	A
USGS	06114700	2011-05-10 06:30	MDT	3000	A
USGS	06114700	2011-05-10 06:45	MDT	3060	A
USGS	06114700	2011-05-10 07:00	MDT	3030	A
USGS	06114700	2011-05-10 07:15	MDT	3010	A
USGS	06114700	2011-05-10 07:30	MDT	2820	A
USGS	06114700	2011-05-10 07:45	MDT	3030	A
USGS	06114700	2011-05-10 08:00	MDT	3030	A
USGS	06114700	2011-05-10 08:15	MDT	3090	A
USGS	06114700	2011-05-10 08:30	MDT	2800	A
USGS	06114700	2011-05-10 08:45	MDT	3070	A
USGS	06114700	2011-05-10 09:00	MDT	2900	A
USGS	06114700	2011-05-10 09:15	MDT	3060	A
USGS	06114700	2011-05-10 09:30	MDT	3070	A
USGS	06114700	2011-05-10 09:45	MDT	3160	A
USGS	06114700	2011-05-10 10:00	MDT	3030	A
USGS	06114700	2011-05-10 10:15	MDT	3130	A
USGS	06114700	2011-05-10 10:30	MDT	3200	A
USGS	06114700	2011-05-10 10:45	MDT	3230	A
USGS	06114700	2011-05-10 11:00	MDT	3090	A
USGS	06114700	2011-05-10 11:15	MDT	3220	A
USGS	06114700	2011-05-10 11:30	MDT	3010	A
USGS	06114700	2011-05-10 11:45	MDT	3160	A
USGS	06114700	2011-05-10 12:00	MDT	3120	A
USGS	06114700	2011-05-10 12:15	MDT	3230	A
USGS	06114700	2011-05-10 12:30	MDT	3220	A
USGS	06114700	2011-05-10 12:45	MDT	3100	A
USGS	06114700	2011-05-10 13:00	MDT	3220	A
USGS	06114700	2011-05-10 13:15	MDT	3360	A
USGS	06114700	2011-05-10 13:30	MDT	3450	A
USGS	06114700	2011-05-10 13:45	MDT	3400	A
USGS	06114700	2011-05-10 14:00	MDT	3540	A
USGS	06114700	2011-05-10 14:15	MDT	3180	A
USGS	06114700	2011-05-10 14:30	MDT	3430	A
USGS	06114700	2011-05-10 14:45	MDT	3450	A
USGS	06114700	2011-05-10 15:00	MDT	3700	A
USGS	06114700	2011-05-10 15:15	MDT	3600	A
USGS	06114700	2011-05-10 15:30	MDT	3570	A
USGS	06114700	2011-05-10 15:45	MDT	3620	A
USGS	06114700	2011-05-10 16:00	MDT	3750	A
USGS	06114700	2011-05-10 16:15	MDT	3760	A
USGS	06114700	2011-05-10 16:30	MDT	3760	A
USGS	06114700	2011-05-10 16:45	MDT	3420	A
USGS	06114700	2011-05-10 17:00	MDT	3890	A
USGS	06114700	2011-05-10 17:15	MDT	3780	A
USGS	06114700	2011-05-10 17:30	MDT	3970	A
USGS	06114700	2011-05-10 17:45	MDT	4130	A
USGS	06114700	2011-05-10 18:00	MDT	3880	A
USGS	06114700	2011-05-10 18:15	MDT	4180	A
USGS	06114700	2011-05-10 18:30	MDT	4140	A
USGS	06114700	2011-05-10 18:45	MDT	4400	A
USGS	06114700	2011-05-10 19:00	MDT	4230	A
USGS	06114700	2011-05-10 19:15	MDT	4430	A
USGS	06114700	2011-05-10 19:30	MDT	4180	A
USGS	06114700	2011-05-10 19:45	MDT	4420	A
USGS	06114700	2011-05-10 20:00	MDT	4630	A
USGS	06114700	2011-05-10 20:15	MDT	4520	A
USGS	06114700	2011-05-10 20:30	MDT	4500	A
USGS	06114700	2011-05-10 20:45	MDT	4240	A
USGS	06114700	2011-05-10 21:00	MDT	4790	A
USGS	06114700	2011-05-10 21:15	MDT	4590	A
USGS	06114700	2011-05-10 21:30	MDT	4700	A
USGS	06114700	2011-05-10 21:45	MDT	4830	A
USGS	06114700	2011-05-10 22:00	MDT	4880	A
USGS	06114700	2011-05-10 22:15	MDT	5050	A
USGS	06114700	2011-05-10 22:30	MDT	4720	A
USGS	06114700	2011-05-10 22:45	MDT	4520	A
USGS	06114700	2011-05-10 23:00	MDT	5290	A
